id,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,fixing_commit_id
400,android,222,222,1d0c953,1d0c953,3bac3c6
592,android,21,102,dbf7750,2aeea79,12c53f0
207,android,9,12,a02fbe3,d4ead45,bb9beec
220,android,4,161,4247102,e0ace14,97a6440
467,android,67,68,24cb661,cc1d134,9e3726e
64,android,575,575,c16e24c,c16e24c,1746ec4
980,android,10,250,4622ba9,91f2073,d29eabd
1183,android,1,4,109ca69,778a243,4474c94
1388,android,2,24,898b0ca,9c7cacd,94ab61d
1465,android,42,181,53da1f8,b39e41c,ac4db41
84,android,1,81,014b6c1,71dbdf3,f1d413c
1363,android,829,829,61d4192,61d4192,77e846d
41,android,4,211,4622ba9,f68ace0,644fc7c
791,android,118,197,a4cc059,6005c0a,59c8b5d
1142,android,3,3,f31b270,f31b270,91ad70c
1195,android,1,129,af95767,9e04116,1884579
1295,android,15,15,7705a6c,7705a6c,ca4a358
1427,android,76,76,7705a6c,7705a6c,0c0c69f
349,android,1,154,f1fe71a,d115c42,686896
1333,android,3,240,9ebbc01,ed65390,44964ef
145,android,1,160,f1fe71a,cb390cc,d5c07e8
153,android,4,637,27d0674,ca5f074,64e2c2f
269,android,320,330,83e2604,e80882b,b860aef
492,android,3,133,b059fbb,c5bf650,bab4f73
1162,android,88,88,dbf7750,dbf7750,293dc61
581,android,774,774,821a00e,821a00e,6d86fb3
747,android,498,498,fbe2668,d00dc4c,e457e9e
1125,android,2,139,6a299f6,aba54a1,cfafc16
1035,android,6,17,7a547b3,72fd97c,448ad10
485,android,8,11,0ee46bb,7ecc580,05e45e9
59,android,42,45,cce6f2c,28067d4,89de6e9
204,android,28,28,a6a6151,a6a6151,c5beb91
209,android,12,148,dbf7750,b8f112e,fa0603e
318,android,1,105,9c5b0fe,cfd20fe,050a003
1159,android,9,9,883d210,883d210,46d5359
142,android,100,283,ac55d30,2cb5bde,02e41e6
741,android,24,137,ac55d30,ee4ac07,f2fa5ae
1101,android,196,436,0daa73d,c361eff,878a320
401,android,81,211,072639b,ad583e4,85ace6f
707,android,7,77,8d5054e,b55e00a,0ab48bf
70,android,53,56,58b8479,3f0aada,d3cc1fd
108,android,5,5,6dfc7da,6dfc7da,5e9f0cc
1351,android,51,202,07dc411,7055c9d,9783956
65,android,233,233,2bf8491,2bf8491,4b89a11
173,android,1,1,3319dc7,3319dc7,a3fcd5e
239,android,1,2,25ff01e,35855a1,ee52e00
250,android,238,281,2d555c7,868802,40a064b
361,android,3,3,94b322d,94b322d,263e965
408,android,3,12,514126,8ea8604,a2818a5
520,android,2,1356,c26ac73,5e2b0b0,6d9567f
844,android,25,25,15b1e73,15b1e73,b4dd05d
1107,android,18,434,072639b,2197e9b,af30f4f
1188,android,1074,1074,0558def,0558def,5.66E+06
1268,android,303,684,672b28a,360b20d,d3f2a01
1279,android,82,82,e635aec,e635aec,89af189
1308,android,4,9,1.75E+63,58314c3,59e6701
1315,android,48,176,969cab8,0a4d81f,cb19ce2
1364,android,284,284,46046f8,46046f8,ce6f080
1480,android,74,74,984ce0e,984ce0e,f489a36
138,android,56,56,007d2d3,007d2d3,774fda0
987,android,51,723,9b26d90,cf488a9,b614a5a
1105,android,6,6,909f677,909f677,b7a8464
1106,android,11,287,dd98942,f91b70d,a8c33b6
223,android,72,620,761d87b,f2ef65a,b1ea126
1058,android,24,362,88fb0f2,99436d0,941cb8a
99,android,24,131,aa58c7f,e88067c,9e51961
1326,android,1,359,f4f356a,01fbd2c,5db9800
1494,android,4,30,2c63a54,1ccdab8,8a247fc
37,android,9,107,dc50543,cd15bb4,58273a4
976,android,266,891,9ebbc01,b110287,ac369d4
912,android,10,95,3d02188,c512426,4e85017
140,android,6,7,d1d8345,852e513,453406a
826,android,5,257,16bb8b1,c05c0b3,2904c2f
161,android,5,41,dd98942,a8f1164,5589be4
1240,android,124,124,28f3b74,28f3b74,376bc22
1215,android,10,510,d301efe,e102a1d,7cb6fa1
294,android,2,132,62b7111,8a06e0c,a7494b5
44,android,12,16,00dbe7d,3cb03d1,496a8bc
202,android,12,161,aa58c7f,7c4322e,0575aa6
534,android,3,173,f1fe71a,d6a8b8c,5b35e8d
687,android,1,72,b63e8fb,a848ff1,3d5b158
1190,android,90,90,60dc64b,60dc64b,b652687
1373,android,4,147,c88482d,0ea1296,a0b9c5c
1520,android,2,463,b15c31f,218e380,ef6c28e
158,android,1,393,15b1e73,8c1f2d2,79f6b89
248,android,2,38,27d0674,cdc9022,b3e19e6
267,android,6,43,f31b270,c59aeb2,1945dc4
287,android,11,333,eed1070,b091f7a,8c1f2d2
390,android,1,72,f4bf4a1,e5ba9a3,c8d98a5
412,android,3,34,8bead20,eecf5be,f70d889
611,android,99,156,e8d3c2b,c7c1409,9633573
650,android,76,394,8bf7627,eeac507,8bfc4d7
703,android,20,102,3e34fc6,0cfac4e,e1f1ae0
743,android,2,153,8bf7627,c8f3ffe,635fe11
950,android,2,2,45b8c23,45b8c23,42483aa
991,android,1,443,6eb4659,0dae5db,ddcd63c
1016,android,20,256,9ebbc01,ed65390,9dd03fb
1123,android,1,2,f361b1d,3a31629,ad53706
1150,android,43,446,1.11E+06,f0b1761,c296d6f
1214,android,1,2,bc5f99b,133bef2,09855d0
1226,android,1,3,8c1f2d2,7086d56,5dcf978
1241,android,3,3,2a3d103,2a3d103,9eeeba5
1347,android,7,7,ea75603,ea75603,65df0ee
1381,android,4,65,73d61f1,fc707b6,33e332f
1449,android,7,722,2f39283,41fadc3,7a023b9
1550,android,47,47,fd4d178,fd4d178,3497e9d
1572,android,1,454,e848171,893eaab,7072321
1573,android,1,223,e4f61da,262128c,f5019ba
303,android,1,1,b7f9d06,b7f9d06,a66580b
926,android,8,8,30e3995,30e3995,86b70e1
18,android,187,187,d6734db,d6734db,2dd566a
695,android,33,912,fbe2668,71dadb5,a56f486
346,android,4,4,883d210,883d210,69c2c2f
993,android,63,143,ac55d30,4.52E+06,97a4f97
479,ios,6,6,6a61a26,6a61a26,fe65423
876,ios,1,528,8fb1e15,c2e00bd,8555dac
1504,ios,1,1,0b76d95,0b76d95,7141ae3
1509,ios,34,81,22b1455,437b9b2,83145bb
